,Tweets,Name,SA,top_words,top_probs
72,"RT @jamesanthony909: US Media: President Trump was there Russian meddling in the 2016 election?

Trump: Putin said no and furthermore Alexa…",Craftysince1990,0,"['trump', 'putin', 'http', 'hous', 'mock', 'protect', 'look', 'to…', 'presid', 'peopl']","[0.0877237, 0.07520962, 0.06269554, 0.012639221, 0.012639221, 0.012639221, 0.012639219, 0.012639219, 0.012639219, 0.012639219]"
73,"Trump swiped right for Putin &amp; left on the American people. 
•
#Impeach45 #TreasonTrump #trumpregrets #GOPRussia… https://t.co/gpVjJtedRJ",erkeyzoo,1,"['http', 'trump', 'swipe', 'american', 'goprussia…', 'amp', 'impeach', 'support', 'kaski', 'gpvjjtedrj']","[0.06521787, 0.063823245, 0.01646507, 0.016465066, 0.016465066, 0.016465066, 0.016465066, 0.016465066, 0.016465066, 0.016465066]"
74,"RT @labomski: Republicans won’t allow it, just like they blocked Maria Bituna’s testimony. Either they are protecting someone (Trump or @NR…",EsoOrc,0,"['http', 'trump', 'putin', 'ago', 'vwapwjiu', 'ask', 'protect', 'ananavarro', 'he’', 'cnn']","[0.05302031, 0.05302031, 0.02664205, 0.02664205, 0.02664205, 0.026642047, 0.026642047, 0.026642047, 0.026642047, 0.026642047]"
75,RT @DougTrump16: @abcnews ABC feeds its hysterical chooks. They were hoping President Trump would publicly condemn Putin for a conspiracy t…,ggggarethg,-1,"['abcnew', 'publicli', 'chook', 'putin', 'abc', 'presid', 'dougtrump', 'feed', 'conspiraci', 'hope']","[0.053410906, 0.0534109, 0.0534109, 0.0534109, 0.0534109, 0.0534109, 0.0534109, 0.0534109, 0.0534109, 0.0534109]"
76,HATE MAKES THESE PEOPLE  CRAZY TO THE POINT OF BEING ONLY ABLE TO MAKE RADICAL COMMENTS THAT PROVE THEIR HATE!! I C… https://t.co/bmJrIZZr2f,tmac1222,-1,"['hate', 'peopl', 'abl', 'prove', 'point', 'make', 'crazi', 'bmjrizzrf', 'radic', 'http']","[0.112227805, 0.056393083, 0.056393076, 0.056393076, 0.056393076, 0.056393076, 0.056393076, 0.056393076, 0.056393076, 0.056393076]"
77,"Republicans won’t allow it, just like they blocked Maria Bituna’s testimony. Either they are protecting someone (Tr… https://t.co/7kuLNY6LFi",labomski,0,"['trump', 'news”', '“fake', 'republican', 'word', 'alexwassabi', 'year', 'won’t', 'http', 'protect']","[0.06502751, 0.032675516, 0.032675516, 0.032675516, 0.032675516, 0.032675516, 0.032675512, 0.032675512, 0.032675512, 0.032675512]"
78,@abcnews ABC feeds its hysterical chooks. They were hoping President Trump would publicly condemn Putin for a consp… https://t.co/sZHuMcfgHI,DougTrump16,-1,"['http', 'trump', 'putin', 'hope', 'consp…', 'szhumcfghi', 'presid', 'abc', 'publicli', 'chook']","[0.05965089, 0.057240136, 0.038289916, 0.038289916, 0.038289912, 0.038289912, 0.038289912, 0.038289912, 0.038289912, 0.038289912]"
79,@Comey @Jimoday1 Jim Comey; I trust you! Not Trump and his protectors.,Teach1006,0,"['comei', 'trump', 'america', 'jim', 'trust', 'protector', 'jimodai', 'said', 'will…', 'uclxbsgbf']","[0.08773461, 0.0877346, 0.04408555, 0.044085544, 0.044085544, 0.044085544, 0.044085544, 0.044085544, 0.044085544, 0.044085544]"
80,There are also the whole Liberal groups that say nothing about the gravity of this story!! Trump haters are spendin… https://t.co/uNu8wNYn59,tmac1222,1,"['http', 'trump', 'don’t', 'stori', 'georg', 'putin', 'said', 'ask', 'unuwnyn', 'spendin…']","[0.081549704, 0.081549704, 0.05445678, 0.027363857, 0.027363857, 0.027363857, 0.027363854, 0.027363854, 0.027363854, 0.027363854]"
81,Carol Burnett's classic GONE WITH THE WIND parody appears to have inspired Trump's favorite immigrant. (See my prev… https://t.co/rWzEIWINrp,RisaAmigable,1,"['trump', 'http', 'she’', 'like', 'appear', 'get', 'don’t', 'pretti', 'like…', 'migrain']","[0.055077434, 0.04440422, 0.03677929, 0.03677929, 0.018481137, 0.018481137, 0.018481137, 0.018481135, 0.018481135, 0.018481135]"
82,"@realDonaldTrump Agonizing, corrupt, sour grape ,sore losers media who’s done nothing but deliver fake, fabricated,… https://t.co/78OnNwsG39",cesyuvie,-1,"['comei', 'agon', 'realdonaldtrump', 'screw', 'loser', 'grape', 'sour', 'sore', 'trump', 'cnn']","[0.042241745, 0.042241745, 0.04224174, 0.04224174, 0.04224174, 0.04224174, 0.04224174, 0.04224174, 0.04224174, 0.04224174]"
83,The fact that Trump deleted the words “bring those who meddled to justice” is even more troubling than his original… https://t.co/pCMehbvjVk,labomski,1,"['trump', 'http', '“bring', 'fact', 'troubl', 'pcmehbvjvk', 'original…', 'justice”', 'delet', 'meddl']","[0.07042795, 0.067462295, 0.047103178, 0.047103178, 0.04710317, 0.04710317, 0.04710317, 0.04710317, 0.04710317, 0.04710317]"
84,Fucking trump killed my stocks this week 😪,rey_kale,-1,"['trump', 'environ', 'week', 'charg', 'ppl', 'gihhzel', 'epa', 'kill', 'stock', 'year']","[0.1009543, 0.050728288, 0.050728288, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284]"
85,"#haiku

folks waste closet space
Melania stores her clothes
next to the windows

 https://t.co/FbmjPfRb0A https://t.co/zdcQHl9RSH",RisaAmigable,-1,"['http', 'closet', 'folk', 'cloth', 'fbmjpfrba', 'melania', 'haiku', 'store', 'window', 'wast']","[0.106292985, 0.053410906, 0.053410903, 0.053410903, 0.053410903, 0.053410903, 0.053410903, 0.053410903, 0.053410903, 0.053410903]"
86,@NBCNightlyNews Of course trump os gonna say what politians want. But no other US citizen was in that meeting with putin!,POPZ_DA_KRPLR,1,"['trump', 'http', 'putin', 'want', 'didn’t', 'summit', 'mhduyjlxqv', 'busi', 'interfer', 'hmmm']","[0.084432915, 0.04819826, 0.036673557, 0.0355104, 0.024219029, 0.024219029, 0.024219025, 0.024219025, 0.024219025, 0.024219025]"
87,The answer to @AliVelshi's question is: Every one of their 'payoffs' is contingent upon them holding the line until… https://t.co/rspP7a4dyQ,BetoMetroDos,-1,"['http', 'alivelshi', 'conting', 'question', 'until…', 'rsppadyq', 'payoff', 'line', 'hold', 'answer']","[0.07277901, 0.04549019, 0.04549019, 0.04549019, 0.04549019, 0.04549019, 0.04549019, 0.04549019, 0.04549019, 0.04549019]"
88,"@Slate Rosenstein should realize by now that Trump couldn’t care less what they find on Russia, because he won’t be… https://t.co/VDj6yCvPRS",labomski,-1,"['http', 'trump', 'be…', 'question', 'icbcxmtdf', 'barron', 'costareport', 'vdjycvpr', 'daveschecht', 'melania']","[0.06502751, 0.065027505, 0.032675516, 0.032675516, 0.032675516, 0.032675512, 0.032675512, 0.032675512, 0.032675512, 0.032675512]"
89,@The_Trump_Train @realDonaldTrump  https://t.co/RtJx0AsoBy,kobe45451,0,"['realdonaldtrump', 'http', 'democrat', 'judgejeanin', 'divid', 'want', 'putin', 'rtjxasobi', 'trump', 'train']","[0.09173893, 0.09173893, 0.09173893, 0.046097673, 0.046097673, 0.046097673, 0.046097673, 0.046097673, 0.046097673, 0.046097673]"
90,"the Traitor-in-Chief
earned a big bonus this week
from his Russian boss

 https://t.co/FbmjPfRb0A",RisaAmigable,0,"['boss', 'traitor', 'bonu', 'big', 'earn', 'week', 'chief', 'fbmjpfrba', 'russian', 'http']","[0.06348209, 0.06348208, 0.06348208, 0.06348208, 0.06348208, 0.06348208, 0.06348208, 0.06348208, 0.06348208, 0.06348208]"
91,"Sorry, Trump, you'll have to do better than this. What he should have said, ""Yes, it's true. Putin is blackmailing… https://t.co/FSTCzmMJVJ",VagabondWahine,1,"['better', 'sorri', 'fstczmmjvj', 'http', 'trump', 'true', 'ye', 'putin', 'blackmailing…', 'said']","[0.054778855, 0.053810604, 0.051862087, 0.048952848, 0.04880033, 0.047988765, 0.046881344, 0.044341836, 0.042997792, 0.042290177]"
92,@AlexWassabi You know we never used word “Fake news” until trump,FERNANDODL,-1,"['trump', 'news”', '“fake', 'republican', 'word', 'alexwassabi', 'year', 'won’t', 'http', 'protect']","[0.06502751, 0.032675516, 0.032675516, 0.032675516, 0.032675516, 0.032675516, 0.032675512, 0.032675512, 0.032675512, 0.032675512]"
93,@kimguilfoyle @DonaldJTrumpJr DJ... don’t be like your dad. She’s not into you... she’s too pretty frankly... like… https://t.co/Ldjj77UdLQ,kellyke24601413,1,"['trump', 'http', 'she’', 'like', 'appear', 'get', 'don’t', 'pretti', 'like…', 'migrain']","[0.055077434, 0.04440422, 0.03677929, 0.03677929, 0.018481137, 0.018481137, 0.018481137, 0.018481135, 0.018481135, 0.018481135]"
94,@TomiLahren Tom must not care about our president schmoozing with Putin while trashing our Intel Agencies. Or maybe… https://t.co/V1nFE3qaiJ,labomski,0,"['http', 'trump', 'putin', 'journalist', 'pfzzwquz', 'real', 'sai', 'report', 'stomach', 'peopl']","[0.07364888, 0.035431024, 0.030274922, 0.024312349, 0.024312349, 0.024312349, 0.024312345, 0.024312345, 0.024312345, 0.024312345]"
95,BBC News Mundo - Trump rectifica: ahora acepta que Rusia sí interfirió en las elecciones presidenciales de Estados… https://t.co/rQSpXhA14D,elviscanessa,0,"['http', 'trump', 'que', 'acepta', 'la', 'interfirió', 'presidencial', 'new', 'mundo', 'rectifica']","[0.04795992, 0.04795992, 0.024099266, 0.024099266, 0.024099266, 0.024099264, 0.024099264, 0.024099264, 0.024099264, 0.024099264]"
96,RT @sbsun: White House asks San Bernardino leaders to support Trump’s Supreme Court nominee https://t.co/5UggyQOIHy,PhilDeCarolis,0,"['sbsun', 'trump’', 'white', 'san', 'leader', 'nomine', 'ask', 'suprem', 'court', 'bernardino']","[0.050728288, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284]"
97,@rgraykoa @kurteichenwald Totally agree. I think people around him made a deal w Putin on dads behalf- and Putin to… https://t.co/pUYHeSsd1c,kellyke24601413,0,"['trump', 'putin', 'http', 'hous', 'mock', 'protect', 'look', 'to…', 'presid', 'peopl']","[0.0877237, 0.07520962, 0.06269554, 0.012639221, 0.012639221, 0.012639221, 0.012639219, 0.012639219, 0.012639219, 0.012639219]"
98,White House asks San Bernardino leaders to support Trump’s Supreme Court nominee https://t.co/5UggyQOIHy,sbsun,0,"['sbsun', 'trump’', 'white', 'san', 'leader', 'nomine', 'ask', 'suprem', 'court', 'bernardino']","[0.050728288, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284]"
99,"European press mocks Trump as 'weak,' 'Putin's poodle' after summit https://t.co/fxn6iSkYhQ",vminjares2,-1,"['trump', 'putin', 'http', 'hous', 'mock', 'protect', 'look', 'to…', 'presid', 'peopl']","[0.0877237, 0.07520962, 0.06269554, 0.012639221, 0.012639221, 0.012639221, 0.012639219, 0.012639219, 0.012639219, 0.012639219]"
